Federica Pellegrini, Italy,115.45
Sara Isakoviè, Slovenia,115.86
Caitlin McClatchey, Great Britain,116.97
Katie Hoff, United States,117.20
Ágnes Mutina, Hungary,117.25
Pang Jiaying, China,117.37
Allison Schmitt, United States,117.38
Haruka Ueda, Japan,117.64
Camelia Potec, Romania,117.65
Bronte Barratt, Australia,117.75
Ophélie-Cyrielle Étienne, France,117.93
Linda Mackenzie, Australia,117.96
Josefin Lillhage, Sweden,117.98
Joanne Jackson, Great Britain,118.00
Aurore Mongel, France,118.11
Ida Marko-Varga, Sweden,118.21
Stephanie Horner, Canada,118.35
Melania Costa, Spain,119.50
Zhu Qianwei, China,119.52
Daria Belyakina, Russia,119.72
Maki Mita, Japan,119.96
Annika Lurz, Germany,119.98
Ranomi Kromowidjojo, Netherlands,120.02
Petra Dallmann, Germany,120.21
Genevieve Saumur, Canada,120.49
Jördis Steinegger, Austria,120.52
Anna Stylianou, Cyprus,120.55
Monique Ferreira, Brazil,120.64
Elina Partoka, Estonia,120.64
Nina Rangelova, Bulgaria,120.66
Hoi Shun Stephanie Au, Hong Kong,120.85
Paulina Barzycka, Poland,120.92
Melissa Corfe, South Africa,120.95
Louise Mai Jansen, Denmark,121.30
Nataliya Khudyakova, Ukraine,122.27
Lynette Lim, Singapore,122.30
Yang Chin-kuei, Chinese Taipei,122.84
Natthanan Junkrajang, Thailand,122.88
Christine Mailliet, Luxembourg,122.91
Milica Ostojiæ, Serbia,123.19
Heysi Villarreal, Cuba,123.23
Anja Trišiæ, Croatia,123.57
Melanie Nocher, Ireland,124.29
Eleni Kosti, Greece,124.55
Sigrún Brá Sverrisdóttir, Iceland,124.82
Lee Keo-ra, South Korea,125.71
