Sun Yang, China,106.24
Ryan Lochte, United States,106.45
Yannick Agnel, France,106.60
Danila Izotov, Russia,106.61
Park Tae-Hwan, South Korea,106.79
Robert Renwick, Great Britain,106.86
Kenrick Monk, Australia,106.94
Ricky Berens, United States,107.07
Dominik Kozma, Hungary,107.18
Paul Biedermann, Germany,107.27
Sebastiaan Verschuren, Netherlands,107.31
Grégory Mallet, France,107.39
Thomas Fraser-Holmes, Australia,107.50
Brett Fraser, Cayman Islands,107.74
Artem Lobuzov, Russia,107.91
Dominik Meichtry, Switzerland,107.97
Blake Worsley, Canada,108.14
Matthew Stanley, New Zealand,108.19
Ieuan Lloyd, Great Britain,108.52
Shaune Fraser, Cayman Islands,108.53
Nimrod Shapira Bar-Or, Israel,108.60
Cristian Quintero Valero, Venezuela,108.71
Li Yunqi, China,108.72
Clemens Rapp, Germany,108.75
Glenn Surgeloose, Belgium,108.77
Benjamin Hockin, Paraguay,108.91
David Brandl, Austria,109.00
Dion Dreesens, Netherlands,109.00
Marco Belotti, Italy,109.14
Ahmed Mathlouthi, Tunisia,109.68
Matias Koski, Finland,109.84
Radovan Siljevski, Serbia,111.40
Mario Montoya, Costa Rica,111.66
Sebastián Jahnsen Madico, Peru,112.36
Tiago Venâncio, Portugal,112.36
Jessie Lacuna, Philippines,112.91
Nicholas Schwab, Dominican Republic,113.41
Raul Martinez Colomer, Puerto Rico,114.23
Mathieu Marquet, Mauritius,118.91
Anderson Lim, Brunei,122.26
