@relation 12168104L2_2

@attribute kwota_kredytu numeric
@attribute wiek numeric
@attribute płeć {kobieta,mężczyzna}
@attribute rodzaj_źródła_dochodu numeric
@attribute miesieczny_dochod_netto numeric
@attribute ktore_rolowanie numeric
@attribute okres_w_jakim_pobierał_dochód numeric
@attribute okres_w_jakim_będzie_pobierał_dochód numeric
@attribute opóźnienie_spłaty numeric

@data
400,71,kobieta,13,1667,0,149,48,0
300,56,kobieta,11,1187.06,0,127,48,0
200,65,mężczyzna,13,1611,0,135,48,0
500,64,mężczyzna,13,1530,0,28,48,14
200,50,kobieta,16,1020,0,96,48,475
400,22,mężczyzna,17,1896,0,28,33,2
600,35,kobieta,11,1065,0,53,48,0
500,64,kobieta,13,1434,0,85,48,1806
400,63,mężczyzna,13,1200,0,35,48,193
500,66,kobieta,13,650,0,67,48,0
500,33,kobieta,12,1540,0,32,39,0
600,68,kobieta,13,2120,0,112,48,4
400,24,mężczyzna,17,926,0,49,48,4
400,60,kobieta,16,1411,0,60,48,4
200,35,kobieta,12,850,0,1,2,1805
500,72,mężczyzna,13,1700,0,8,48,7
300,75,mężczyzna,13,1150,0,132,48,81
300,62,kobieta,13,1189,0,63,48,4
283.08,57,kobieta,13,782,0,186,48,0
400,55,kobieta,12,1350,0,16,24,1
450,49,kobieta,11,2800,0,312,48,0
500,60,kobieta,13,1000,0,61,48,2
600,27,kobieta,11,1300,0,3,48,0
300,30,mężczyzna,16,611.67,0,147,48,515
500,70,mężczyzna,13,1420,0,46,48,39
770,62,kobieta,13,1754,0,89,48,489
500,53,kobieta,12,2000,0,3,25,2
500,22,kobieta,17,1456.9,0,5,9,276
500,62,kobieta,13,1200.29,0,16,48,0
300,30,mężczyzna,99,1500,0,5,5,0
854.63,40,kobieta,11,2505,0,157,48,2
300,66,kobieta,13,1428.55,0,130,48,0
600,53,kobieta,12,1500,0,2,2,2
200,47,kobieta,12,830.46,0,39,48,0
500,51,kobieta,11,1700,0,299,48,1
400,24,mężczyzna,12,1387.31,0,4,9,1802
500,63,mężczyzna,13,1768.93,0,263,48,0
400,58,kobieta,13,1600,0,48,48,239
