@relation 12168104L2_2-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S4-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F3-S4-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F1-S3

@attribute status_pozyczki {zly,dobry}
@attribute kwota_kredytu numeric
@attribute wiek numeric
@attribute płeć {kobieta,mężczyzna}
@attribute rodzaj_źródła_dochodu numeric
@attribute miesieczny_dochod_netto numeric
@attribute ktore_rolowanie numeric
@attribute okres_w_jakim_pobierał_dochód numeric
@attribute okres_w_jakim_będzie_pobierał_dochód numeric
@attribute opóźnienie_spłaty numeric

@data
dobry,817.84,63,kobieta,13,860,0,73,48,1
dobry,300,60,kobieta,13,1026,0,48,48,0
zly,500,32,kobieta,13,336,0,110,48,1813
dobry,800,61,kobieta,13,1820,0,62,48,0
dobry,200,60,kobieta,13,1635,0,113,48,0
dobry,300,24,kobieta,17,640,0,3,8,7
dobry,300,59,kobieta,13,1658,0,22,48,0
dobry,600,42,mężczyzna,11,1700,0,245,48,0
dobry,400,61,kobieta,13,1052,0,66,48,383
dobry,300,50,kobieta,98,570,0,21,48,5
dobry,400,40,kobieta,12,660,0,5,37,7
dobry,200,45,mężczyzna,12,670,0,2,11,0
dobry,500,46,mężczyzna,12,2500,0,2,3,0
dobry,300,67,mężczyzna,13,1170,0,72,48,14
dobry,200,57,mężczyzna,13,12220,0,64,48,0
dobry,600,56,mężczyzna,11,3335,0,426,48,0
dobry,200,50,mężczyzna,16,1045,0,192,48,4
dobry,200,62,kobieta,13,1065,0,15,48,0
dobry,400,71,kobieta,13,1668,0,190,48,0
dobry,500,60,kobieta,13,1100,0,15,48,9
zly,500,28,mężczyzna,12,1900,0,5,20,104
dobry,200,33,mężczyzna,12,1000,0,15,36,318
dobry,400,68,kobieta,16,980,0,124,48,0
dobry,953.23,36,kobieta,11,1900,0,172,48,11
dobry,250,69,kobieta,13,1800,0,110,48,0
dobry,622.23,46,kobieta,12,1669,0,30,48,353
dobry,500,62,kobieta,13,962,0,59,48,2
dobry,600,47,mężczyzna,11,2500,0,197,48,3
dobry,400,62,kobieta,13,1900,0,82,48,0
dobry,200,56,mężczyzna,16,889,0,233,48,416
dobry,800,55,kobieta,16,2300,0,56,48,2
dobry,400,54,kobieta,11,2800,0,53,48,2
dobry,500,22,mężczyzna,12,1800,0,10,11,8
dobry,800,60,kobieta,11,2670,0,82,48,8
dobry,400,39,kobieta,11,1200,0,7,48,0
dobry,300,63,kobieta,13,1100,0,99,48,0
dobry,400,71,kobieta,13,1667,0,149,48,0
dobry,300,56,kobieta,11,1187.06,0,127,48,0
dobry,200,65,mężczyzna,13,1611,0,135,48,0
zly,200,54,mężczyzna,12,1032.34,0,1,6,0
dobry,500,64,mężczyzna,13,1530,0,28,48,14
dobry,200,50,kobieta,16,1020,0,96,48,475
zly,200,72,kobieta,13,758,0,170,48,0
dobry,400,22,mężczyzna,17,1896,0,28,33,2
dobry,600,35,kobieta,11,1065,0,53,48,0
zly,500,64,kobieta,13,1434,0,85,48,1806
zly,400,63,mężczyzna,13,1200,0,35,48,193
dobry,500,66,kobieta,13,650,0,67,48,0
dobry,500,33,kobieta,12,1540,0,32,39,0
dobry,600,68,kobieta,13,2120,0,112,48,4
zly,700,25,kobieta,13,2000,0,3,48,0
zly,500,72,mężczyzna,13,1372,0,60,48,0
dobry,400,24,mężczyzna,17,926,0,49,48,4
dobry,400,60,kobieta,16,1411,0,60,48,4
zly,200,35,kobieta,12,850,0,1,2,1805
dobry,500,72,mężczyzna,13,1700,0,8,48,7
zly,200,61,mężczyzna,99,444,0,14,48,0
dobry,300,75,mężczyzna,13,1150,0,132,48,81
dobry,300,62,kobieta,13,1189,0,63,48,4
dobry,283.08,57,kobieta,13,782,0,186,48,0
dobry,400,55,kobieta,12,1350,0,16,24,1
dobry,450,49,kobieta,11,2800,0,312,48,0
dobry,500,60,kobieta,13,1000,0,61,48,2
dobry,600,27,kobieta,11,1300,0,3,48,0
dobry,300,30,mężczyzna,16,611.67,0,147,48,515
dobry,500,70,mężczyzna,13,1420,0,46,48,39
zly,770,62,kobieta,13,1754,0,89,48,489
dobry,500,53,kobieta,12,2000,0,3,25,2
zly,500,22,kobieta,17,1456.9,0,5,9,276
dobry,1000,28,mężczyzna,12,1800,0,4,7,4
dobry,500,62,kobieta,13,1200.29,0,16,48,0
dobry,300,30,mężczyzna,99,1500,0,5,5,0
dobry,854.63,40,kobieta,11,2505,0,157,48,2
dobry,300,66,kobieta,13,1428.55,0,130,48,0
dobry,600,53,kobieta,12,1500,0,2,2,2
dobry,200,47,kobieta,12,830.46,0,39,48,0
dobry,500,51,kobieta,11,1700,0,299,48,1
zly,400,24,mężczyzna,12,1387.31,0,4,9,1802
dobry,500,63,mężczyzna,13,1768.93,0,263,48,0
dobry,400,58,kobieta,13,1600,0,48,48,239
dobry,562.58,65,kobieta,13,930,0,124,48,1
dobry,700,38,kobieta,11,1900,0,201,48,9
dobry,200,73,kobieta,13,951,0,156,48,0
dobry,400,47,kobieta,11,3170,0,279,48,0
zly,1257.5,50,kobieta,98,2880,0,21,48,1802
zly,1000,41,mężczyzna,98,30000,0,70,48,0
dobry,600,57,kobieta,11,2200,0,463,48,218
dobry,200,75,kobieta,13,616,0,240,48,0
dobry,400,53,mężczyzna,12,1917,0,38,38,0
dobry,500,29,kobieta,12,1447,0,15,23,2
zly,300,30,mężczyzna,12,1600,0,4,12,1802
dobry,400,69,kobieta,13,1072,0,146,48,2
dobry,400,73,kobieta,13,1412,0,198,48,0
dobry,300,58,kobieta,13,1240,0,63,48,7
dobry,400,58,mężczyzna,17,485,0,137,48,2
zly,400,38,kobieta,12,1000,0,6,39,1802
dobry,300,60,mężczyzna,11,3000,0,206,48,2
dobry,500,61,kobieta,13,1362,0,50,48,2
zly,600,24,mężczyzna,11,1475,0,2,48,0
dobry,400,66,kobieta,13,919,0,135,48,7
dobry,500,31,mężczyzna,11,2700,0,9,48,0
zly,600,36,mężczyzna,11,2316.55,0,34,48,1800
dobry,900,33,kobieta,11,2050,0,22,48,1
dobry,600,47,kobieta,12,830.46,0,39,48,0
dobry,400,36,kobieta,11,2478,0,151,48,1
dobry,500,60,kobieta,13,1212,0,47,48,0
zly,200,57,kobieta,11,885,0,427,48,1800
dobry,400,28,mężczyzna,12,900,0,12,20,0
dobry,200,62,mężczyzna,13,1162,0,215,48,0
dobry,200,63,kobieta,13,918,0,96,48,23
dobry,200,49,mężczyzna,11,1400,0,8,48,0
dobry,600,69,kobieta,13,2291,0,64,48,4
dobry,200,57,kobieta,16,703,0,19,48,0
zly,400,52,kobieta,11,1959.58,0,114,48,1799
dobry,300,33,mężczyzna,11,1800,0,159,48,0
dobry,200,77,kobieta,13,1239,0,264,48,25
dobry,500,21,mężczyzna,12,1200,0,3,17,0
zly,200,62,kobieta,13,570,0,24,48,1799
dobry,200,50,kobieta,12,2000,0,28,48,0
dobry,600,58,kobieta,17,684,0,183,48,0
dobry,700,29,mężczyzna,12,1800,0,1,2,0
dobry,500,35,mężczyzna,12,1500,0,27,35,0
dobry,453.95,23,mężczyzna,99,980,0,5,6,0
zly,300,29,mężczyzna,11,930,0,40,48,189
zly,300,78,mężczyzna,13,724.11,0,186,48,524
zly,250,57,mężczyzna,13,600,0,149,48,538
dobry,351.29,63,kobieta,13,1668,0,85,48,0
dobry,800,47,kobieta,11,5800,0,48,48,0
dobry,400,57,kobieta,12,1680,0,64,48,0
zly,300,50,mężczyzna,11,1300,0,4,48,1798
dobry,300,56,kobieta,98,980,0,3,48,0
dobry,200,38,kobieta,99,2800,0,4,6,1
dobry,300,49,kobieta,11,2450,0,108,48,214
dobry,300,61,kobieta,13,997,0,73,48,0
dobry,1000,42,mężczyzna,11,2875.71,0,272,48,11
dobry,800,55,kobieta,13,3440,0,45,48,4
dobry,200,71,mężczyzna,13,1426,0,71,48,0
zly,200,60,kobieta,16,425,0,155,48,0
dobry,700,42,mężczyzna,11,2258,0,69,48,0
dobry,1000,60,kobieta,13,1149.62,0,64,48,0
dobry,400,55,kobieta,11,2800,0,3,48,0
dobry,600,60,kobieta,13,1149,0,75,48,405
dobry,800,60,mężczyzna,11,1000,0,57,48,0
dobry,1500,72,mężczyzna,13,2612,0,75,48,10
zly,500,50,mężczyzna,16,755,0,13,48,1797
dobry,300,58,kobieta,13,1735,0,48,48,0
dobry,700,72,mężczyzna,13,2802,0,241,48,2
dobry,200,53,kobieta,16,749.28,0,59,48,17
dobry,1000,53,mężczyzna,11,4000,0,4,48,0
zly,250,62,mężczyzna,13,1712,0,21,48,486
dobry,200,20,mężczyzna,17,985,0,7,11,0
dobry,250,60,kobieta,13,810,0,27,48,0
dobry,500,36,kobieta,12,1100,0,5,10,437
dobry,400,32,kobieta,12,1000,0,13,23,0
dobry,400,64,kobieta,13,1015,0,103,48,0
dobry,500,33,kobieta,11,1400,0,95,48,45
dobry,300,25,mężczyzna,12,1300,0,3,25,3
dobry,300,49,mężczyzna,13,3900,0,24,48,0
zly,1000,57,kobieta,11,2200,0,463,48,482
dobry,200,53,kobieta,16,655,0,25,48,0
zly,300,47,mężczyzna,11,1717.08,0,71,48,339
dobry,400,56,mężczyzna,12,1600,0,28,48,0
dobry,400,36,kobieta,11,1400,0,81,48,17
dobry,1000,57,mężczyzna,13,3600,0,80,48,0
dobry,200,47,kobieta,11,770,0,97,48,1
zly,300,65,kobieta,13,900,0,123,48,500
dobry,500,54,mężczyzna,13,2800,0,144,48,1
dobry,400,62,kobieta,13,714,0,216,48,0
dobry,700,58,kobieta,13,1872,0,29,48,2
dobry,200,24,mężczyzna,12,1000,0,6,24,0
dobry,450,55,mężczyzna,16,588,0,416,48,0
dobry,500,49,kobieta,11,1800,0,47,48,2
dobry,300,61,kobieta,13,1170,0,72,48,2
dobry,200,46,mężczyzna,11,1360,0,113,48,0
dobry,200,78,kobieta,13,736,0,61,48,1
dobry,500,54,kobieta,16,1045.6,0,6,48,0
dobry,500,52,mężczyzna,11,3200,0,183,48,0
dobry,400,74,kobieta,13,1026,0,241,48,0
dobry,200,40,mężczyzna,12,1000,0,0,3,0
dobry,539.49,49,kobieta,11,1764,0,58,48,88
dobry,500,62,kobieta,13,1525.46,0,30,48,5
dobry,617.26,32,mężczyzna,11,2050,0,112,48,1
dobry,400,53,kobieta,11,1700,0,199,48,1
zly,300,27,kobieta,12,1030,0,4,24,1795
zly,300,45,kobieta,16,1047,0,192,48,0
zly,300,59,mężczyzna,16,745.54,0,75,48,0
dobry,200,43,kobieta,11,1400,0,19,48,0
dobry,200,72,kobieta,13,640,0,132,48,0
dobry,500,56,mężczyzna,13,1900,0,144,48,2
dobry,700,65,mężczyzna,13,3040,0,195,48,0
dobry,250,38,mężczyzna,12,1030,0,13,14,5
dobry,500,54,kobieta,16,1657,0,13,48,0
dobry,400,25,kobieta,17,1200,0,159,48,0
dobry,300,53,mężczyzna,11,1320,0,336,48,0
dobry,743.23,35,kobieta,98,4000,0,12,48,1
dobry,400,26,mężczyzna,12,1100,0,27,48,2
dobry,400,54,kobieta,12,1700,0,49,48,0
dobry,300,62,kobieta,13,1130,0,97,48,0
zly,400,65,mężczyzna,13,1611.69,0,235,48,0
dobry,500,38,kobieta,12,2395,0,74,48,0
dobry,300,32,mężczyzna,12,1655.76,0,51,48,0
dobry,500,43,mężczyzna,98,3178,0,195,48,1
dobry,200,64,mężczyzna,13,744.16,0,110,48,243
zly,1000,39,kobieta,11,8894,0,3,48,0
dobry,200,57,mężczyzna,13,440,0,65,48,0
dobry,200,79,kobieta,13,1442.43,0,135,48,0
dobry,400,61,kobieta,13,1160,0,72,48,0
dobry,300,47,kobieta,11,1700,0,83,48,0
dobry,200,66,kobieta,13,910,0,63,48,0
dobry,600,58,mężczyzna,11,1510,0,160,48,0
dobry,350,68,mężczyzna,13,2000,0,38,48,4
dobry,400,59,kobieta,13,1400,0,48,48,0
dobry,400,52,kobieta,12,1040,0,12,19,0
dobry,500,52,mężczyzna,11,2011,0,205,48,5
zly,300,53,mężczyzna,12,1000,0,98,48,0
dobry,500,54,mężczyzna,99,2063.38,0,191,48,0
dobry,300,45,mężczyzna,11,1400,0,135,48,206
dobry,300,50,kobieta,17,990,0,66,48,0
dobry,500,35,kobieta,11,2709.34,0,175,48,0
zly,231.83,30,mężczyzna,12,1065,0,8,12,1791
zly,300,60,kobieta,13,790,0,63,48,1791
dobry,300,68,kobieta,13,1017,0,155,48,0
dobry,300,59,mężczyzna,16,634,0,312,48,0
dobry,200,52,kobieta,12,1000,0,25,48,0
dobry,500,55,kobieta,13,841.17,0,13,48,503
dobry,200,72,kobieta,13,730,0,555,48,11
zly,300,60,kobieta,16,684.64,0,335,48,0
dobry,300,50,kobieta,12,1000,0,26,29,0
dobry,600,61,kobieta,13,1050,0,133,48,1
zly,200,62,kobieta,13,745,0,144,48,0
dobry,600,33,kobieta,11,2200,0,31,48,0
dobry,500,64,kobieta,13,958.25,0,85,48,0
dobry,300,70,kobieta,13,729.03,0,251,48,0
