@relation 12168104L2_2-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S4-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F3-S4-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F1-S3

@attribute status_pozyczki {zly,dobry}
@attribute kwota_kredytu numeric
@attribute wiek numeric
@attribute płeć {kobieta,mężczyzna}
@attribute rodzaj_źródła_dochodu numeric
@attribute miesieczny_dochod_netto numeric
@attribute ktore_rolowanie numeric
@attribute okres_w_jakim_pobierał_dochód numeric
@attribute okres_w_jakim_będzie_pobierał_dochód numeric
@attribute opóźnienie_spłaty numeric

@data
dobry,500,62,kobieta,13,1200.29,0,17,48,0
dobry,400,40,kobieta,12,660,0,6,37,0
zly,500,57,kobieta,13,500,0,24,48,0
dobry,300,39,kobieta,11,1770,0,82,48,0
dobry,300,57,kobieta,11,1680,0,380,48,4
dobry,300,24,kobieta,17,640,0,5,8,2
dobry,235.97,66,kobieta,13,1428.55,0,131,48,3
dobry,200,25,mężczyzna,12,1660,0,8,26,3
dobry,700,35,mężczyzna,12,1500,0,28,35,0
zly,450,56,kobieta,11,1600,0,372,48,527
dobry,200,75,kobieta,13,616,0,241,48,0
dobry,700,30,mężczyzna,11,2837,0,121,48,9
dobry,283.08,57,kobieta,13,782,0,187,48,3
dobry,300,30,mężczyzna,99,1500,0,6,7,1
dobry,400,22,mężczyzna,17,1896,0,29,33,0
dobry,400,55,kobieta,12,1350,0,17,24,1
dobry,200,65,kobieta,13,1013.74,0,108,48,0
dobry,400,73,kobieta,13,1412,0,199,48,0
dobry,200,53,kobieta,99,1100,0,46,48,0
dobry,600,32,mężczyzna,12,1655.76,0,52,48,3
dobry,500,60,kobieta,13,1000,0,62,48,1
dobry,326.61,54,mężczyzna,99,2063.38,0,192,48,0
dobry,700,27,kobieta,11,1300,0,4,48,0
dobry,300,73,kobieta,13,951,0,157,48,0
dobry,500,53,kobieta,12,2000,0,4,25,0
dobry,600,68,kobieta,13,2120,0,113,48,0
dobry,500,63,mężczyzna,13,1768.93,0,264,48,0
dobry,400,47,kobieta,11,3170,0,280,48,2
dobry,650,60,kobieta,13,1100,0,16,48,1
dobry,600,53,kobieta,12,1500,0,4,4,1
dobry,450,72,kobieta,13,640,0,133,48,2
zly,500,47,kobieta,12,1102.34,0,12,38,0
zly,300,41,mężczyzna,12,850,0,39,48,1772
dobry,442.73,40,kobieta,11,2505,0,158,48,1
dobry,650,58,kobieta,13,1735,0,49,48,0
dobry,482.34,24,mężczyzna,17,926,0,50,48,6
dobry,200,57,kobieta,16,703,0,20,48,0
dobry,500,51,kobieta,11,1700,0,300,48,0
zly,500,59,mężczyzna,16,634,0,313,48,530
dobry,300,24,mężczyzna,17,926,0,50,48,6
dobry,500,31,mężczyzna,11,2700,0,10,48,8
dobry,300,62,kobieta,13,1189,0,64,48,1
zly,500,44,mężczyzna,12,2386.02,0,0,2,1771
dobry,500,75,mężczyzna,13,2098,0,192,48,0
dobry,300,53,kobieta,16,655,0,26,48,1
dobry,400,60,kobieta,16,1411,0,61,48,0
dobry,800,60,kobieta,11,2670,0,83,48,6
dobry,400,69,kobieta,13,1072,0,147,48,4
dobry,500,29,kobieta,12,1447,0,16,23,3
dobry,500,58,mężczyzna,17,485,0,138,48,0
dobry,700,58,mężczyzna,11,1510,0,160,48,0
dobry,400,53,mężczyzna,11,1320,0,337,48,0
dobry,310.5,63,kobieta,13,1668,0,86,48,5
dobry,250,60,kobieta,13,810,0,28,48,3
dobry,200,54,mężczyzna,12,988,0,4,12,0
dobry,200,71,mężczyzna,13,1426,0,72,48,0
dobry,300,61,kobieta,13,984,0,5,48,0
dobry,800,60,mężczyzna,11,1000,0,58,48,0
dobry,500,80,kobieta,13,2421.55,0,240,48,0
dobry,953.23,36,kobieta,11,1900,0,174,48,1
dobry,500,60,kobieta,13,1212,0,48,48,0
dobry,1000,28,mężczyzna,12,1800,0,5,7,1
dobry,400,28,mężczyzna,12,900,0,13,20,5
dobry,300,33,mężczyzna,11,1800,0,160,48,0
dobry,600,49,kobieta,11,2800,0,313,48,0
dobry,600,47,kobieta,12,830.46,0,40,48,0
dobry,700,58,kobieta,17,684,0,184,48,0
dobry,800,29,mężczyzna,12,1800,0,2,2,1
dobry,200,62,mężczyzna,13,1162,0,216,48,0
dobry,200,49,mężczyzna,11,1400,0,9,48,1
dobry,800,47,kobieta,11,5800,0,49,48,0
dobry,300,60,mężczyzna,11,3000,0,207,48,3
dobry,500,65,kobieta,13,930,0,125,48,2
zly,200,59,mężczyzna,16,908.37,0,124,48,0
zly,650,31,kobieta,11,1477,0,117,48,0
dobry,900,33,kobieta,11,2050,0,23,48,2
zly,526.61,21,mężczyzna,12,1200,0,4,17,374
dobry,300,52,kobieta,11,1050,0,13,48,0
dobry,300,62,kobieta,13,1065,0,16,48,0
dobry,200,50,kobieta,12,2000,0,29,48,2
dobry,449.7,23,mężczyzna,99,980,0,6,7,3
zly,200,58,mężczyzna,11,2180,0,285,48,0
zly,500,36,mężczyzna,11,1048.65,0,148,48,0
dobry,400,55,kobieta,11,2800,0,4,48,0
dobry,500,36,kobieta,11,2478,0,152,48,9
zly,700,32,mężczyzna,12,2500,0,28,48,0
dobry,300,61,kobieta,13,997,0,74,48,0
dobry,500,61,kobieta,13,1362,0,51,48,2
dobry,600,57,kobieta,12,1680,0,65,48,0
dobry,200,65,kobieta,13,665.92,0,120,48,1
dobry,500,64,kobieta,13,958.25,0,86,48,2
dobry,400,64,kobieta,13,1015,0,104,48,0
dobry,200,20,mężczyzna,17,985,0,8,11,1
dobry,300,56,kobieta,98,980,0,4,48,0
dobry,600,63,kobieta,13,930,0,88,48,3
dobry,500,52,mężczyzna,11,3200,0,184,48,0
dobry,700,42,mężczyzna,11,2258,0,70,48,2
dobry,300,35,kobieta,12,1200,0,3,14,0
dobry,500,61,mężczyzna,11,2250.05,0,171,48,3
dobry,500,72,mężczyzna,13,1700,0,9,48,0
dobry,300,49,mężczyzna,13,3900,0,25,48,1
dobry,500,35,mężczyzna,11,2200,0,80,48,7
dobry,200,46,mężczyzna,11,1360,0,114,48,0
dobry,500,46,mężczyzna,12,2500,0,3,4,0
dobry,500,32,kobieta,12,1260,0,14,23,0
dobry,200,38,kobieta,99,2800,0,5,6,1
dobry,1000,53,mężczyzna,11,4000,0,5,48,0
dobry,600,22,mężczyzna,12,1800,0,12,12,51
dobry,200,40,mężczyzna,12,1000,0,1,3,2
dobry,400,27,mężczyzna,11,1700,0,34,48,182
dobry,200,24,mężczyzna,12,1000,0,7,24,0
dobry,749,76,kobieta,13,1377.23,0,252,48,0
dobry,200,74,kobieta,13,1026,0,242,48,0
zly,200,26,mężczyzna,12,1038,0,6,21,0
dobry,700,72,mężczyzna,13,2802,0,242,48,2
dobry,200,78,mężczyzna,13,1263,0,244,48,212
zly,300,51,kobieta,11,1071,0,28,48,0
dobry,700,27,kobieta,11,2100,0,17,48,0
dobry,300,62,kobieta,13,714,0,217,48,0
dobry,300,58,kobieta,13,1240,0,65,48,0
dobry,300,70,kobieta,13,865,0,122,48,0
dobry,200,60,kobieta,16,684.64,0,336,48,0
dobry,400,39,mężczyzna,13,1750,0,24,48,336
dobry,600,55,mężczyzna,16,588,0,417,48,0
dobry,600,69,kobieta,13,2291,0,66,48,0
dobry,500,54,kobieta,16,1045.6,0,7,48,0
dobry,300,65,mężczyzna,13,1253.51,0,58,48,179
dobry,281.29,53,kobieta,11,1700,0,200,48,0
dobry,200,47,kobieta,11,770,0,98,48,0
dobry,336.52,25,mężczyzna,12,1300,0,4,25,22
zly,400,48,kobieta,12,1341,0,12,12,477
zly,200,61,kobieta,13,1154.55,0,16,48,0
dobry,200,69,mężczyzna,13,870.5,0,49,48,354
dobry,500,54,mężczyzna,13,2800,0,145,48,40
dobry,500,37,mężczyzna,12,3000,0,2,10,1
dobry,300,50,mężczyzna,12,1000,0,38,48,0
zly,200,78,kobieta,13,736,0,62,48,1764
zly,400,35,kobieta,11,2568.87,0,68,48,0
dobry,800,55,kobieta,13,3440,0,46,48,4
zly,300,62,kobieta,13,725,0,28,48,0
zly,300,74,kobieta,13,1317,0,252,48,0
dobry,637.02,32,mężczyzna,11,2050,0,113,48,1
dobry,200,79,kobieta,13,1442.43,0,136,48,0
dobry,400,54,kobieta,12,1700,0,50,48,0
dobry,700,65,mężczyzna,13,3040,0,196,48,7
dobry,400,70,kobieta,13,1291.18,0,74,48,0
dobry,700,58,kobieta,13,1872,0,30,48,3
zly,300,63,kobieta,13,760,0,72,48,0
dobry,400,66,kobieta,13,919,0,136,48,5
zly,200,63,kobieta,13,845,0,0,48,0
dobry,200,25,kobieta,17,1200,0,160,48,0
dobry,200,43,kobieta,11,1400,0,20,48,0
dobry,500,49,kobieta,11,1800,0,48,48,0
zly,500,54,kobieta,16,1657,0,14,48,445
zly,800,39,mężczyzna,11,1888.14,0,206,48,0
dobry,300,23,mężczyzna,11,1400,0,19,48,0
dobry,250,61,kobieta,13,634.64,0,7,48,0
dobry,700,38,kobieta,11,1900,0,202,48,11
dobry,200,65,kobieta,13,670,0,61,48,0
dobry,300,70,kobieta,13,729.03,0,252,48,0
zly,200,61,kobieta,13,785,0,134,48,0
dobry,900,54,mężczyzna,13,2600,0,111,48,11
dobry,200,66,kobieta,13,910,0,64,48,2
dobry,743.23,35,kobieta,98,4000,0,13,48,2
dobry,400,61,kobieta,13,1280,0,12,48,2
dobry,300,50,kobieta,17,990,0,67,48,0
dobry,300,52,kobieta,11,1400,0,156,48,6
dobry,400,52,kobieta,12,1040,0,12,19,2
zly,300,47,kobieta,12,1776.38,0,117,48,0
dobry,300,43,mężczyzna,12,1463.56,0,0,12,2
zly,800,21,mężczyzna,12,1800,0,7,14,0
dobry,600,51,mężczyzna,12,2673.17,0,107,48,3
dobry,300,65,kobieta,13,1125,0,120,48,3
zly,200,64,mężczyzna,13,866.16,0,34,48,0
dobry,500,59,kobieta,13,1400,0,49,48,0
dobry,200,52,mężczyzna,12,1000,0,7,39,4
dobry,300,44,mężczyzna,12,1963.88,0,1,5,0
dobry,500,64,mężczyzna,13,1530,0,30,48,2
dobry,300,53,mężczyzna,11,2080,0,313,48,0
dobry,300,68,kobieta,13,1017,0,156,48,0
zly,300,54,kobieta,12,977.42,0,1,1,0
dobry,500,43,mężczyzna,98,3178,0,196,48,4
dobry,300,47,mężczyzna,12,600,0,4,27,0
dobry,300,58,kobieta,13,1244.77,0,34,48,0
dobry,400,26,mężczyzna,12,1100,0,28,48,9
zly,300,52,kobieta,12,1000,0,26,48,1760
dobry,300,54,kobieta,16,1788,0,58,48,2
dobry,500,56,mężczyzna,13,1900,0,145,48,2
dobry,426.61,35,kobieta,11,2709.34,0,176,48,1
dobry,300,62,mężczyzna,13,1420.41,0,19,48,0
zly,300,19,kobieta,99,1100,0,10,11,0
dobry,300,31,kobieta,12,855,0,39,48,0
zly,1000,41,mężczyzna,98,7600,0,16,48,0
dobry,300,50,kobieta,12,1000,0,27,29,0
zly,800,29,mężczyzna,11,2100,0,46,48,1760
dobry,300,52,mężczyzna,12,1000,0,4,5,0
zly,300,32,mężczyzna,12,1000,0,27,48,0
dobry,300,70,kobieta,13,1200,0,114,48,1
zly,200,24,kobieta,17,668.05,0,2,16,0
dobry,426.61,49,kobieta,11,2470,0,349,48,1
dobry,300,60,mężczyzna,12,1000,0,7,10,1
dobry,500,62,kobieta,13,1525.46,0,31,48,11
dobry,200,54,mężczyzna,17,798.8,0,144,48,1
dobry,400,29,mężczyzna,12,1300,0,22,41,1
zly,400,68,kobieta,13,1500,0,124,48,0
dobry,200,27,mężczyzna,12,1416,0,3,24,14
dobry,600,61,kobieta,13,1050,0,134,48,1
dobry,800,30,mężczyzna,12,2700,0,59,48,0
zly,300,30,mężczyzna,12,2600,0,2,2,1758
dobry,600,61,mężczyzna,13,1500,0,18,48,6
zly,400,61,kobieta,13,2010,0,75,48,454
dobry,300,74,mężczyzna,13,1180,0,135,48,0
dobry,526.11,28,kobieta,99,468,0,6,10,0
zly,300,23,mężczyzna,98,470,0,2,48,0
dobry,800,74,mężczyzna,13,2712,0,338,48,9
dobry,449.61,54,mężczyzna,11,1552.16,0,93,48,0
zly,400,38,kobieta,11,1998.9,0,226,48,497
dobry,300,46,kobieta,12,1032,0,33,40,0
zly,254.23,38,mężczyzna,12,1030,0,14,14,1758
dobry,300,59,mężczyzna,16,726,0,228,48,0
dobry,335.97,54,kobieta,11,1721.7,0,115,48,0
dobry,300,55,kobieta,12,1009.34,0,24,48,16
dobry,250,68,mężczyzna,13,2000,0,40,48,2
dobry,300,34,mężczyzna,12,1030,0,0,23,3
dobry,400,53,kobieta,16,1362,0,24,48,0
dobry,200,31,kobieta,12,980,0,5,5,0
dobry,800,56,kobieta,13,580,0,114,48,0
dobry,200,72,kobieta,13,930,0,234,48,0
zly,300,41,mężczyzna,12,1037.34,0,32,48,0
dobry,400,69,mężczyzna,16,1100,0,132,48,0
dobry,300,65,mężczyzna,13,1611,0,136,48,0
zly,500,58,mężczyzna,11,2200,0,48,48,368
dobry,200,65,kobieta,16,892,0,196,48,0
dobry,1100,42,mężczyzna,11,2875.71,0,273,48,4
dobry,400,42,mężczyzna,11,3500,0,23,48,3
dobry,300,30,mężczyzna,11,1000,0,52,48,0
dobry,250,62,mężczyzna,99,685,0,0,2,7
dobry,300,65,mężczyzna,12,1100,0,17,35,4
dobry,300,60,kobieta,13,1026,0,50,48,0
dobry,200,66,kobieta,13,1216,0,136,48,0
dobry,300,61,kobieta,13,975,0,22,48,6
dobry,200,52,kobieta,16,685,0,36,48,0
dobry,400,47,kobieta,11,1700,0,84,48,0
dobry,200,54,mężczyzna,12,1030,0,3,24,5
dobry,500,52,mężczyzna,11,2011,0,206,48,11
dobry,300,33,mężczyzna,11,2100,0,59,48,4
dobry,310,21,mężczyzna,12,952.89,0,17,26,3
dobry,380,71,kobieta,13,1721,0,192,48,5
dobry,200,57,mężczyzna,13,819,0,52,48,0
dobry,350,68,mężczyzna,13,1162.41,0,99,48,0
dobry,600,43,kobieta,11,1443,0,28,48,0
dobry,1000,73,kobieta,13,2100,0,50,48,0
zly,200,60,kobieta,13,1123.4,0,28,48,0
dobry,500,58,mężczyzna,16,1770,0,84,48,0
dobry,200,51,kobieta,11,932.34,0,390,48,0
zly,500,32,kobieta,11,624.34,0,141,48,0
dobry,200,62,kobieta,13,930,0,72,48,0
dobry,400,64,kobieta,13,840,0,108,48,3
dobry,300,67,kobieta,13,1085,0,161,48,0
dobry,200,63,mężczyzna,13,1742.76,0,36,48,2
zly,500,37,kobieta,17,498,0,6,7,0
dobry,400,59,kobieta,13,1400,0,241,48,3
dobry,600,77,mężczyzna,13,2609,0,186,48,0
dobry,300,26,mężczyzna,11,1459,0,4,48,7
dobry,200,41,kobieta,11,1037.34,0,57,48,2
zly,1000,24,mężczyzna,11,3050,0,24,48,0
dobry,500,59,mężczyzna,11,2947,0,48,48,0
dobry,200,46,kobieta,98,911,0,93,48,0
dobry,200,55,kobieta,11,1077,0,178,48,0
dobry,200,49,kobieta,12,1100,0,2,2,451
dobry,1000,61,kobieta,13,1820,0,64,48,0
dobry,300,60,kobieta,13,936,0,26,48,0
dobry,300,49,kobieta,11,992.84,0,116,48,0
dobry,200,57,mężczyzna,13,12220,0,66,48,0
zly,300,53,kobieta,12,972.34,0,47,48,260
dobry,200,68,kobieta,13,1134.96,0,156,48,0
dobry,600,61,kobieta,13,2066,0,124,48,2
dobry,200,62,kobieta,13,714,0,217,48,0
dobry,300,58,kobieta,13,1083.23,0,92,48,0
zly,500,50,mężczyzna,11,6125.99,0,377,48,0
dobry,200,69,kobieta,13,1800,0,112,48,0
zly,200,52,kobieta,13,423,0,98,48,0
dobry,600,47,kobieta,98,2200,0,20,48,0
dobry,300,73,mężczyzna,13,960,0,135,48,0
zly,200,65,kobieta,13,1032.85,0,161,48,0
dobry,300,60,mężczyzna,11,2100,0,182,48,0
zly,300,23,mężczyzna,12,1040,0,2,9,0
dobry,400,71,mężczyzna,13,1921,0,84,48,0
zly,400,26,mężczyzna,11,2500,0,28,48,203
dobry,200,63,kobieta,16,1340,0,156,48,0
dobry,200,60,kobieta,13,1635,0,115,48,1
dobry,200,53,kobieta,99,1100,0,47,48,0
dobry,500,52,kobieta,12,1500,0,21,32,0
zly,300,57,kobieta,16,452,0,58,48,0
dobry,300,55,kobieta,16,1072.89,0,117,48,0
dobry,600,58,kobieta,11,1400,0,158,48,2
dobry,600,51,kobieta,11,3200,0,49,48,0
dobry,200,54,kobieta,16,730,0,137,48,455
dobry,200,51,mężczyzna,12,1030,0,4,48,5
dobry,300,59,kobieta,13,1658,0,24,48,0
zly,300,23,mężczyzna,12,1472,0,7,20,1751
dobry,200,52,mężczyzna,17,749.74,0,106,48,0
dobry,500,62,kobieta,13,1900,0,83,48,0
dobry,500,42,mężczyzna,11,1700,0,247,48,0
dobry,300,52,kobieta,11,2065.98,0,174,48,0
dobry,789.27,63,kobieta,13,860,0,75,48,2
dobry,600,56,mężczyzna,11,3335,0,428,48,1
zly,900,61,mężczyzna,98,1900,0,1,48,0
dobry,200,45,mężczyzna,12,670,0,4,11,1
dobry,400,36,kobieta,11,1400,0,83,48,193
dobry,285.97,38,kobieta,98,1200,0,41,48,0
zly,700,71,mężczyzna,13,1063.12,0,72,48,0
zly,200,39,kobieta,99,600,0,36,37,0
dobry,1569.98,48,mężczyzna,11,2353,0,94,48,1
dobry,200,71,kobieta,13,1185.33,0,219,48,0
dobry,295.97,39,kobieta,11,1770,0,82,48,0
dobry,200,53,kobieta,16,749.28,0,60,48,0
dobry,300,63,kobieta,16,1340,0,156,48,0
dobry,400,39,kobieta,11,1239.05,0,199,48,7
dobry,200,72,kobieta,13,730,0,556,48,0
dobry,400,68,kobieta,16,980,0,126,48,0
dobry,800,62,kobieta,13,3700,0,22,48,1
zly,200,51,kobieta,12,1228,0,7,8,0
dobry,200,54,kobieta,11,1400,0,112,48,1
zly,400,40,kobieta,11,1050,0,17,48,1749
dobry,700,58,kobieta,13,1801.41,0,33,48,1
zly,300,54,kobieta,11,2000,0,395,48,0
dobry,1500,57,mężczyzna,98,3000,0,64,48,8
dobry,400,61,mężczyzna,11,1250,0,60,48,0
dobry,400,60,kobieta,13,1425,0,75,48,3
zly,200,55,mężczyzna,17,894.07,0,60,48,1749
dobry,400,37,kobieta,11,2700,0,117,48,0
dobry,500,32,kobieta,11,3100,0,117,48,0
dobry,200,31,kobieta,12,1032.34,0,0,11,0
dobry,500,57,kobieta,11,2249.14,0,237,48,5
dobry,300,38,kobieta,11,1200,0,186,48,3
dobry,300,66,mężczyzna,13,2110,0,97,48,0
zly,500,29,kobieta,12,1200,0,3,23,0
dobry,600,58,kobieta,13,720,0,228,48,19
dobry,500,41,kobieta,98,5000,0,80,48,2
dobry,500,22,mężczyzna,17,1896,0,30,33,2
dobry,600,68,kobieta,13,2120,0,114,48,0
dobry,498.47,31,kobieta,12,1600,0,10,11,2
zly,300,43,kobieta,11,2000,0,238,48,501
dobry,200,74,kobieta,13,1026,0,243,48,0
dobry,200,49,kobieta,17,1079,0,25,26,0
dobry,300,72,kobieta,13,2100,0,156,48,0
dobry,600,54,kobieta,12,1675,0,5,11,4
dobry,300,21,kobieta,16,806,0,15,48,0
dobry,500,45,kobieta,11,3000,0,89,48,0
dobry,400,54,kobieta,11,2800,0,55,48,2
dobry,200,50,mężczyzna,16,1045,0,195,48,0
zly,400,39,kobieta,11,1200,0,9,48,1746
dobry,400,40,kobieta,12,660,0,7,37,1
dobry,400,66,mężczyzna,13,1591,0,72,48,1
dobry,336.43,63,kobieta,13,918,0,97,48,105
dobry,350,73,kobieta,13,1412,0,199,48,0
dobry,377.92,27,kobieta,11,1500,0,20,48,0
dobry,200,50,kobieta,11,1577.42,0,201,48,0
dobry,400,40,mężczyzna,11,1261.98,0,32,48,1
zly,300,36,kobieta,12,1400,0,2,2,0
zly,400,33,mężczyzna,12,1100,0,123,48,141
dobry,500,55,kobieta,16,2300,0,58,48,0
dobry,300,63,kobieta,13,1100,0,101,48,8
dobry,200,68,kobieta,13,803.86,0,153,48,0
dobry,300,45,mężczyzna,12,1375.47,0,2,8,0
zly,200,33,mężczyzna,12,1250,0,0,6,1746
dobry,300,41,kobieta,11,1000,0,57,48,0
zly,600,43,mężczyzna,11,2600,0,4,48,1746
zly,300,53,kobieta,99,1122,0,12,30,1746
dobry,800,35,mężczyzna,12,1500,0,29,35,0
dobry,300,39,kobieta,12,1027,0,4,48,0
zly,200,61,kobieta,16,612,0,195,48,0
zly,500,44,mężczyzna,12,2000,0,7,24,1746
dobry,200,63,mężczyzna,13,1538,0,96,48,0
dobry,626.61,54,mężczyzna,99,2063.38,0,193,48,251
dobry,200,57,kobieta,16,703,0,21,48,2
dobry,200,73,kobieta,13,866.46,0,191,48,0
dobry,300,77,kobieta,13,1239,0,266,48,2
zly,200,54,mężczyzna,17,541,0,96,48,0
zly,576.61,66,kobieta,13,650,0,69,48,379
dobry,300,65,kobieta,13,1013.74,0,109,48,0
dobry,300,62,kobieta,13,1200.29,0,18,48,0
dobry,400,61,mężczyzna,11,1250,0,101,48,0
dobry,500,62,kobieta,13,962,0,61,48,5
dobry,662.83,59,kobieta,13,1370,0,72,48,0
dobry,300,49,mężczyzna,13,814.83,0,153,48,1
dobry,300,46,mężczyzna,11,1566.82,0,345,48,0
dobry,952.96,48,kobieta,12,1500,0,10,26,7
dobry,700,61,kobieta,13,5100,0,24,48,0
dobry,200,75,kobieta,13,616,0,242,48,2
dobry,600,46,mężczyzna,11,2000,0,47,48,0
dobry,200,64,mężczyzna,16,633.56,0,107,48,1
dobry,500,39,mężczyzna,11,1300,0,41,48,0
zly,200,47,mężczyzna,98,444,0,1,48,0
dobry,300,52,mężczyzna,11,1600,0,264,48,0
dobry,600,24,mężczyzna,11,2327.94,0,30,48,7
dobry,700,47,mężczyzna,11,2500,0,199,48,5
dobry,500,33,mężczyzna,11,1500,0,98,48,14
dobry,200,24,mężczyzna,11,1037.34,0,29,48,0
dobry,400,53,kobieta,11,1300,0,30,48,5
zly,200,63,mężczyzna,16,505.84,0,133,48,0
dobry,400,73,kobieta,13,951,0,158,48,0
dobry,500,53,kobieta,12,2000,0,5,25,0
dobry,400,62,mężczyzna,13,1048.07,0,24,48,0
dobry,281.29,55,kobieta,12,1350,0,18,24,0
dobry,600,35,kobieta,11,1065,0,55,48,0
dobry,300,30,mężczyzna,99,1500,0,7,7,0
dobry,200,27,mężczyzna,17,728,0,96,48,0
dobry,1239.88,52,kobieta,11,1638,0,310,48,0
zly,700,33,kobieta,11,3164.48,0,166,48,371
dobry,500,56,kobieta,13,1425,0,15,48,7
dobry,200,75,kobieta,13,965,0,241,48,0
zly,300,56,mężczyzna,11,1650.26,0,29,48,0
zly,400,51,mężczyzna,11,1030,0,19,48,0
dobry,400,59,kobieta,13,1650,0,111,48,0
dobry,500,63,mężczyzna,13,1768.93,0,265,48,0
dobry,500,48,mężczyzna,11,1800,0,122,48,0
dobry,700,27,kobieta,11,1300,0,5,48,0
zly,200,53,mężczyzna,16,550.8,0,61,48,0
dobry,200,73,mężczyzna,13,910.33,0,159,48,0
dobry,300,34,kobieta,11,980.11,0,40,48,0
dobry,200,62,mężczyzna,13,1162,0,217,48,0
dobry,300,69,mężczyzna,13,940,0,49,48,4
zly,300,23,kobieta,16,1199.93,0,138,48,486
dobry,400,56,mężczyzna,11,2031,0,110,48,0
dobry,500,60,kobieta,13,1000,0,63,48,2
dobry,400,52,kobieta,11,1050,0,14,48,6
dobry,300,71,mężczyzna,13,1426,0,73,48,0
dobry,300,60,kobieta,13,1149.06,0,157,48,0
zly,200,52,mężczyzna,16,387.71,0,96,48,0
zly,200,33,mężczyzna,12,554,0,3,9,0
dobry,300,25,mężczyzna,12,1660,0,9,26,348
dobry,300,61,kobieta,13,984,0,6,48,0
dobry,400,56,kobieta,11,1172.2,0,33,48,2
dobry,400,35,mężczyzna,11,2700,0,4,48,12
dobry,250,58,kobieta,13,1500,0,42,48,0
dobry,600,54,kobieta,11,1300,0,64,48,0
zly,694.6,58,kobieta,13,1735,0,50,48,493
dobry,600,47,kobieta,11,1700,0,85,48,5
dobry,500,51,kobieta,11,1700,0,301,48,4
dobry,600,53,kobieta,12,1500,0,5,5,0
zly,500,23,mężczyzna,12,2000,0,14,15,1741
dobry,235.97,66,kobieta,13,1428.55,0,133,48,2
zly,744.6,60,kobieta,13,1100,0,17,48,1741
dobry,300,54,mężczyzna,11,1700,0,35,48,0
dobry,242.73,40,kobieta,11,2505,0,159,48,0
dobry,283.08,57,kobieta,13,782,0,188,48,18
dobry,700,75,mężczyzna,13,2098,0,193,48,3
dobry,400,60,kobieta,16,1411,0,62,48,4
dobry,800,58,kobieta,17,684,0,185,48,0
dobry,500,58,mężczyzna,17,485,0,139,48,7
dobry,400,66,kobieta,13,1137.19,0,92,48,0
zly,800,43,mężczyzna,12,1050,0,2,2,0
dobry,400,47,kobieta,11,3170,0,281,48,0
dobry,500,60,kobieta,13,1212,0,49,48,0
dobry,600,47,kobieta,12,830.46,0,41,48,0
dobry,200,62,kobieta,13,1065,0,17,48,4
dobry,900,47,kobieta,11,5800,0,50,48,0
dobry,400,61,mężczyzna,13,1503,0,161,48,1
dobry,300,61,kobieta,13,1684,0,15,48,0
dobry,450,72,kobieta,13,640,0,134,48,0
dobry,800,80,kobieta,13,2421.55,0,241,48,0
dobry,800,60,mężczyzna,11,1000,0,59,48,0
dobry,300,33,mężczyzna,11,1800,0,161,48,1
dobry,285.97,62,kobieta,13,1189,0,65,48,0
dobry,700,58,mężczyzna,11,1510,0,161,48,0
dobry,300,57,kobieta,11,1680,0,381,48,0
dobry,500,53,kobieta,16,655,0,27,48,0
dobry,300,40,kobieta,17,646,0,50,48,16
dobry,600,42,mężczyzna,11,2100,0,279,48,16
dobry,300,39,kobieta,11,2825,0,93,48,0
dobry,600,49,kobieta,11,2800,0,314,48,1
dobry,524.09,72,kobieta,13,3541.9,0,122,48,31
dobry,300,62,kobieta,13,1130,0,99,48,0
dobry,600,32,kobieta,11,1290,0,15,48,0
dobry,200,54,mężczyzna,12,988,0,4,12,1
dobry,800,29,mężczyzna,12,1800,0,4,10,0
dobry,903.23,36,kobieta,11,1900,0,175,48,2
zly,400,49,mężczyzna,17,693,0,15,36,0
zly,600,32,mężczyzna,12,1655.76,0,53,48,492
dobry,300,61,kobieta,13,997,0,75,48,0
dobry,400,66,kobieta,13,850,0,63,48,2
zly,500,56,kobieta,13,968.87,0,10,48,0
dobry,300,35,kobieta,12,1200,0,4,14,1
dobry,200,49,mężczyzna,11,1400,0,10,48,0
dobry,500,72,mężczyzna,13,1700,0,10,48,1
dobry,1000,28,mężczyzna,12,1800,0,6,7,2
dobry,300,79,kobieta,13,1167.94,0,365,48,0
dobry,721.94,57,kobieta,12,1680,1,66,48,2
dobry,500,29,kobieta,12,1447,1,17,23,1
dobry,400,65,kobieta,13,930,1,126,48,0
zly,500,62,mężczyzna,13,1420.41,1,20,48,484
dobry,250,60,kobieta,13,810,1,29,48,0
dobry,400,40,kobieta,11,1087,0,234,48,17
dobry,500,53,mężczyzna,11,1320,0,338,48,1
dobry,400,64,kobieta,13,1015,1,105,48,6
dobry,700,52,mężczyzna,11,3200,0,185,48,0
zly,200,63,kobieta,13,544.63,0,64,48,0
dobry,500,63,kobieta,16,1340,0,157,48,0
dobry,200,46,mężczyzna,11,1360,1,115,48,0
dobry,1000,53,mężczyzna,11,4000,1,6,48,1
dobry,408.77,33,kobieta,11,2050,1,24,48,0
dobry,200,50,kobieta,12,2000,1,30,48,0
dobry,200,53,kobieta,17,432.87,0,141,48,41
dobry,300,60,mężczyzna,11,3000,1,208,48,3
